study_id	citation_key	year	title	source_type	datasets_used	list_name	gene	direction	reported_role	evidence_type	n_genes_reported_list	reusable_gene_lists	extraction_status	source_url	pmid	doi	curatorial_note	notes
BHASIN_KLETT_ONCOTARGET_2016	Bhasin/Klett 2016 Oncotarget	2016	Meta-analysis of transcriptome data identifies a novel 5-gene pancreatic adenocarcinoma classifier	PDAC transcriptome meta-analysis; classifier; experimental validation	training: GSE18670; E-MEXP-950; GSE15471; GSE16515; validation includes GSE32676; GSE28735 and additional datasets	PDAC_5_gene_classifier	TMPRSS4	up_in_PDAC	diagnostic_classifier	reported_classifier	5	5-gene classifier; 10-gene classifier; 409 concordant genes not fully extracted here	reported classifier panels extracted	https://www.oncotarget.com/article/8139/text/	26993610.0	10.18632/oncotarget.8139	Subset of 10-gene classifier; genes reported as overexpressed in PDAC.	Classifier genes are directly reported in source; 5-gene subset contains PDAC-overexpressed genes.
BHASIN_KLETT_ONCOTARGET_2016	Bhasin/Klett 2016 Oncotarget	2016	Meta-analysis of transcriptome data identifies a novel 5-gene pancreatic adenocarcinoma classifier	PDAC transcriptome meta-analysis; classifier; experimental validation	training: GSE18670; E-MEXP-950; GSE15471; GSE16515; validation includes GSE32676; GSE28735 and additional datasets	PDAC_5_gene_classifier	ECT2	up_in_PDAC	diagnostic_classifier	reported_classifier	5	5-gene classifier; 10-gene classifier; 409 concordant genes not fully extracted here	reported classifier panels extracted	https://www.oncotarget.com/article/8139/text/	26993610.0	10.18632/oncotarget.8139	Subset of 10-gene classifier; genes reported as overexpressed in PDAC.	Classifier genes are directly reported in source; 5-gene subset contains PDAC-overexpressed genes.
BHASIN_KLETT_ONCOTARGET_2016	Bhasin/Klett 2016 Oncotarget	2016	Meta-analysis of transcriptome data identifies a novel 5-gene pancreatic adenocarcinoma classifier	PDAC transcriptome meta-analysis; classifier; experimental validation	training: GSE18670; E-MEXP-950; GSE15471; GSE16515; validation includes GSE32676; GSE28735 and additional datasets	PDAC_5_gene_classifier	SERPINB5	up_in_PDAC	diagnostic_classifier	reported_classifier	5	5-gene classifier; 10-gene classifier; 409 concordant genes not fully extracted here	reported classifier panels extracted	https://www.oncotarget.com/article/8139/text/	26993610.0	10.18632/oncotarget.8139	Subset of 10-gene classifier; genes reported as overexpressed in PDAC.	Classifier genes are directly reported in source; 5-gene subset contains PDAC-overexpressed genes.
BHASIN_KLETT_ONCOTARGET_2016	Bhasin/Klett 2016 Oncotarget	2016	Meta-analysis of transcriptome data identifies a novel 5-gene pancreatic adenocarcinoma classifier	PDAC transcriptome meta-analysis; classifier; experimental validation	training: GSE18670; E-MEXP-950; GSE15471; GSE16515; validation includes GSE32676; GSE28735 and additional datasets	PDAC_5_gene_classifier	AHNAK2	up_in_PDAC	diagnostic_classifier	reported_classifier	5	5-gene classifier; 10-gene classifier; 409 concordant genes not fully extracted here	reported classifier panels extracted	https://www.oncotarget.com/article/8139/text/	26993610.0	10.18632/oncotarget.8139	Subset of 10-gene classifier; genes reported as overexpressed in PDAC.	Classifier genes are directly reported in source; 5-gene subset contains PDAC-overexpressed genes.
BHASIN_KLETT_ONCOTARGET_2016	Bhasin/Klett 2016 Oncotarget	2016	Meta-analysis of transcriptome data identifies a novel 5-gene pancreatic adenocarcinoma classifier	PDAC transcriptome meta-analysis; classifier; experimental validation	training: GSE18670; E-MEXP-950; GSE15471; GSE16515; validation includes GSE32676; GSE28735 and additional datasets	PDAC_5_gene_classifier	POSTN	up_in_PDAC	diagnostic_classifier	reported_classifier	5	5-gene classifier; 10-gene classifier; 409 concordant genes not fully extracted here	reported classifier panels extracted	https://www.oncotarget.com/article/8139/text/	26993610.0	10.18632/oncotarget.8139	Subset of 10-gene classifier; genes reported as overexpressed in PDAC.	Classifier genes are directly reported in source; 5-gene subset contains PDAC-overexpressed genes.
BHASIN_KLETT_ONCOTARGET_2016	Bhasin/Klett 2016 Oncotarget	2016	Meta-analysis of transcriptome data identifies a novel 5-gene pancreatic adenocarcinoma classifier	PDAC transcriptome meta-analysis; classifier; experimental validation	training: GSE18670; E-MEXP-950; GSE15471; GSE16515; validation includes GSE32676; GSE28735 and additional datasets	PDAC_10_gene_classifier	TMPRSS4	up_in_PDAC	diagnostic_classifier_extended	reported_classifier	10	5-gene classifier; 10-gene classifier; 409 concordant genes not fully extracted here	reported classifier panels extracted	https://www.oncotarget.com/article/8139/text/	26993610.0	10.18632/oncotarget.8139	10-gene classifier reported by Oncotarget source; direction follows text summary.	Classifier genes are directly reported in source; 5-gene subset contains PDAC-overexpressed genes.
BHASIN_KLETT_ONCOTARGET_2016	Bhasin/Klett 2016 Oncotarget	2016	Meta-analysis of transcriptome data identifies a novel 5-gene pancreatic adenocarcinoma classifier	PDAC transcriptome meta-analysis; classifier; experimental validation	training: GSE18670; E-MEXP-950; GSE15471; GSE16515; validation includes GSE32676; GSE28735 and additional datasets	PDAC_10_gene_classifier	ECT2	up_in_PDAC	diagnostic_classifier_extended	reported_classifier	10	5-gene classifier; 10-gene classifier; 409 concordant genes not fully extracted here	reported classifier panels extracted	https://www.oncotarget.com/article/8139/text/	26993610.0	10.18632/oncotarget.8139	10-gene classifier reported by Oncotarget source; direction follows text summary.	Classifier genes are directly reported in source; 5-gene subset contains PDAC-overexpressed genes.
BHASIN_KLETT_ONCOTARGET_2016	Bhasin/Klett 2016 Oncotarget	2016	Meta-analysis of transcriptome data identifies a novel 5-gene pancreatic adenocarcinoma classifier	PDAC transcriptome meta-analysis; classifier; experimental validation	training: GSE18670; E-MEXP-950; GSE15471; GSE16515; validation includes GSE32676; GSE28735 and additional datasets	PDAC_10_gene_classifier	SERPINB5	up_in_PDAC	diagnostic_classifier_extended	reported_classifier	10	5-gene classifier; 10-gene classifier; 409 concordant genes not fully extracted here	reported classifier panels extracted	https://www.oncotarget.com/article/8139/text/	26993610.0	10.18632/oncotarget.8139	10-gene classifier reported by Oncotarget source; direction follows text summary.	Classifier genes are directly reported in source; 5-gene subset contains PDAC-overexpressed genes.
BHASIN_KLETT_ONCOTARGET_2016	Bhasin/Klett 2016 Oncotarget	2016	Meta-analysis of transcriptome data identifies a novel 5-gene pancreatic adenocarcinoma classifier	PDAC transcriptome meta-analysis; classifier; experimental validation	training: GSE18670; E-MEXP-950; GSE15471; GSE16515; validation includes GSE32676; GSE28735 and additional datasets	PDAC_10_gene_classifier	AHNAK2	up_in_PDAC	diagnostic_classifier_extended	reported_classifier	10	5-gene classifier; 10-gene classifier; 409 concordant genes not fully extracted here	reported classifier panels extracted	https://www.oncotarget.com/article/8139/text/	26993610.0	10.18632/oncotarget.8139	10-gene classifier reported by Oncotarget source; direction follows text summary.	Classifier genes are directly reported in source; 5-gene subset contains PDAC-overexpressed genes.
BHASIN_KLETT_ONCOTARGET_2016	Bhasin/Klett 2016 Oncotarget	2016	Meta-analysis of transcriptome data identifies a novel 5-gene pancreatic adenocarcinoma classifier	PDAC transcriptome meta-analysis; classifier; experimental validation	training: GSE18670; E-MEXP-950; GSE15471; GSE16515; validation includes GSE32676; GSE28735 and additional datasets	PDAC_10_gene_classifier	POSTN	up_in_PDAC	diagnostic_classifier_extended	reported_classifier	10	5-gene classifier; 10-gene classifier; 409 concordant genes not fully extracted here	reported classifier panels extracted	https://www.oncotarget.com/article/8139/text/	26993610.0	10.18632/oncotarget.8139	10-gene classifier reported by Oncotarget source; direction follows text summary.	Classifier genes are directly reported in source; 5-gene subset contains PDAC-overexpressed genes.
