cell_type	module	n_cells	mean_score	median_score
Epithelial (malignant)	composition_covarying	576	-0.0324	-0.055
Epithelial (non-malignant)	composition_covarying	343	-0.1566	-0.15
Cancer-associated fibroblast	composition_covarying	496	0.2258	0.1955
Myeloid	composition_covarying	100	-0.0572	-0.0918
Lymphoid	composition_covarying	98	-0.1538	-0.1717
Endothelial	composition_covarying	144	0.0032	-0.0043
Endocrine	composition_covarying	89	-0.3261	-0.3323
Pericyte	composition_covarying	103	0.0899	0.0632
Vascular smooth muscle	composition_covarying	31	0.0145	-0.0029
Schwann	composition_covarying	15	0.0329	0.0432
Adipocyte	composition_covarying	5	-0.0931	-0.1038
Epithelial (malignant)	tier1_core	576	0.1522	0.1362
Epithelial (non-malignant)	tier1_core	343	-0.118	-0.1246
Cancer-associated fibroblast	tier1_core	496	0.0393	0.0135
Myeloid	tier1_core	100	-0.0701	-0.089
Lymphoid	tier1_core	98	-0.1924	-0.1908
Endothelial	tier1_core	144	-0.0624	-0.0518
Endocrine	tier1_core	89	-0.2651	-0.259
Pericyte	tier1_core	103	-0.0378	-0.0398
Vascular smooth muscle	tier1_core	31	-0.0909	-0.0856
Schwann	tier1_core	15	-0.0644	-0.0859
Adipocyte	tier1_core	5	-0.1121	-0.148
Epithelial (malignant)	transition_composite	576	0.1921	0.1961
Epithelial (non-malignant)	transition_composite	343	-0.3291	-0.222
Cancer-associated fibroblast	transition_composite	496	0.1308	0.1188
Myeloid	transition_composite	100	-0.0345	0.0027
Lymphoid	transition_composite	98	-0.2941	-0.1512
Endothelial	transition_composite	144	0.0532	0.1074
Endocrine	transition_composite	89	-0.3682	-0.295
Pericyte	transition_composite	103	-0.0123	-0.0177
Vascular smooth muscle	transition_composite	31	-0.113	-0.064
Schwann	transition_composite	15	-0.0421	-0.0727
Adipocyte	transition_composite	5	0.0297	0.1011
Epithelial (malignant)	transition_down	576	-0.0764	-0.1909
Epithelial (non-malignant)	transition_down	343	0.1921	0.1193
Cancer-associated fibroblast	transition_down	496	-0.0664	-0.1909
Myeloid	transition_down	100	-0.05	-0.1909
Lymphoid	transition_down	98	0.0656	0.01
Endothelial	transition_down	144	-0.0382	-0.1909
Endocrine	transition_down	89	0.2083	0.1524
Pericyte	transition_down	103	-0.0428	-0.1909
Vascular smooth muscle	transition_down	31	0.0087	-0.077
Schwann	transition_down	15	0.1118	0.1286
Adipocyte	transition_down	5	-0.1909	-0.1909
Epithelial (malignant)	transition_up	576	0.1157	0.1065
Epithelial (non-malignant)	transition_up	343	-0.1369	-0.1531
Cancer-associated fibroblast	transition_up	496	0.0644	0.0174
Myeloid	transition_up	100	-0.0845	-0.0835
Lymphoid	transition_up	98	-0.2285	-0.2496
Endothelial	transition_up	144	0.015	0.0248
Endocrine	transition_up	89	-0.16	-0.1707
Pericyte	transition_up	103	-0.0551	-0.0719
Vascular smooth muscle	transition_up	31	-0.1043	-0.0992
Schwann	transition_up	15	0.0696	0.0519
Adipocyte	transition_up	5	-0.1612	-0.0898
Epithelial (malignant)	tumor_associated_retained	576	0.2621	0.1768
Epithelial (non-malignant)	tumor_associated_retained	343	-0.0774	-0.0851
Cancer-associated fibroblast	tumor_associated_retained	496	-0.0764	-0.0966
Myeloid	tumor_associated_retained	100	-0.1114	-0.1131
Lymphoid	tumor_associated_retained	98	-0.1804	-0.1863
Endothelial	tumor_associated_retained	144	-0.1564	-0.1322
Endocrine	tumor_associated_retained	89	-0.1953	-0.1864
Pericyte	tumor_associated_retained	103	-0.1153	-0.1192
Vascular smooth muscle	tumor_associated_retained	31	-0.1258	-0.1327
Schwann	tumor_associated_retained	15	-0.0969	-0.1019
Adipocyte	tumor_associated_retained	5	-0.1113	-0.108
