group	gene	mean_expression	fraction_expressing	n_cells
Epithelial (malignant)	ASAP2	1.3925	0.6319	576
Epithelial (malignant)	COL12A1	0.1707	0.1007	576
Epithelial (malignant)	LY75	0.0	0.0	576
Epithelial (malignant)	SLC6A14	0.2434	0.1406	576
Epithelial (malignant)	ALDH1A1	0.0636	0.0382	576
Epithelial (malignant)	ALDH1L2	0.0155	0.0104	576
Epithelial (malignant)	CAST	0.9188	0.4861	576
Epithelial (malignant)	CHAD	0.0195	0.0139	576
Epithelial (malignant)	CITED2	0.0178	0.0122	576
Epithelial (malignant)	CPEB3	0.4906	0.2899	576
Epithelial (malignant)	DDC	0.0	0.0	576
Epithelial (malignant)	F8	0.0222	0.0156	576
Epithelial (malignant)	GATA2	0.0157	0.0087	576
Epithelial (malignant)	ITGB8	0.7084	0.3767	576
Epithelial (malignant)	KDM5B	0.7178	0.4132	576
Epithelial (malignant)	KITLG	0.1749	0.1007	576
Epithelial (malignant)	KLF11	0.0252	0.0174	576
Epithelial (malignant)	KRT14	0.0196	0.0087	576
Epithelial (malignant)	LPP	2.258	0.8438	576
Epithelial (malignant)	NET1	0.3763	0.224	576
Epithelial (malignant)	NPR3	0.003	0.0035	576
Epithelial (malignant)	NR3C2	0.4637	0.2552	576
Epithelial (malignant)	OXSR1	0.5864	0.3385	576
Epithelial (malignant)	PRKAR2B	0.0159	0.0104	576
Epithelial (malignant)	PRKCI	0.8004	0.4323	576
Epithelial (malignant)	PRKCQ	0.0245	0.0191	576
Epithelial (malignant)	PSMB3	0.1239	0.0833	576
Epithelial (malignant)	PTPRS	0.1338	0.0868	576
Epithelial (malignant)	SGIP1	0.0094	0.0069	576
Epithelial (malignant)	SLC39A8	0.0509	0.033	576
Epithelial (malignant)	SLC44A1	0.6599	0.3819	576
Epithelial (malignant)	SLC6A6	0.082	0.0573	576
Epithelial (malignant)	SSH1	0.1946	0.1233	576
Epithelial (malignant)	TANC2	1.0737	0.5208	576
Epithelial (malignant)	TMC5	1.3214	0.5677	576
Epithelial (malignant)	WNT5A	0.0077	0.0035	576
Epithelial (malignant)	ZDHHC7	0.5916	0.3455	576
Epithelial (non-malignant)	ASAP2	0.6033	0.3615	343
Epithelial (non-malignant)	COL12A1	0.0184	0.0087	343
Epithelial (non-malignant)	LY75	0.0	0.0	343
Epithelial (non-malignant)	SLC6A14	0.0104	0.0087	343
Epithelial (non-malignant)	ALDH1A1	0.1084	0.0816	343
Epithelial (non-malignant)	ALDH1L2	0.1177	0.07	343
Epithelial (non-malignant)	CAST	0.6896	0.3994	343
Epithelial (non-malignant)	CHAD	0.0135	0.0087	343
Epithelial (non-malignant)	CITED2	0.0499	0.0233	343
Epithelial (non-malignant)	CPEB3	0.7698	0.4286	343
Epithelial (non-malignant)	DDC	0.0	0.0	343
Epithelial (non-malignant)	F8	0.1041	0.0671	343
Epithelial (non-malignant)	GATA2	0.0249	0.0175	343
Epithelial (non-malignant)	ITGB8	0.7538	0.414	343
Epithelial (non-malignant)	KDM5B	0.368	0.2332	343
Epithelial (non-malignant)	KITLG	0.1595	0.1108	343
Epithelial (non-malignant)	KLF11	0.026	0.0204	343
Epithelial (non-malignant)	KRT14	0.0	0.0	343
Epithelial (non-malignant)	LPP	1.8808	0.723	343
Epithelial (non-malignant)	NET1	0.1062	0.0787	343
Epithelial (non-malignant)	NPR3	0.0216	0.0087	343
Epithelial (non-malignant)	NR3C2	1.0681	0.519	343
Epithelial (non-malignant)	OXSR1	0.3999	0.2595	343
Epithelial (non-malignant)	PRKAR2B	0.192	0.1137	343
Epithelial (non-malignant)	PRKCI	0.3946	0.2536	343
Epithelial (non-malignant)	PRKCQ	0.0622	0.0408	343
Epithelial (non-malignant)	PSMB3	0.0625	0.0379	343
Epithelial (non-malignant)	PTPRS	0.3474	0.2099	343
Epithelial (non-malignant)	SGIP1	0.0089	0.0058	343
Epithelial (non-malignant)	SLC39A8	0.053	0.0379	343
Epithelial (non-malignant)	SLC44A1	0.2456	0.1691	343
Epithelial (non-malignant)	SLC6A6	0.104	0.0641	343
Epithelial (non-malignant)	SSH1	0.1673	0.1283	343
Epithelial (non-malignant)	TANC2	0.6347	0.3499	343
Epithelial (non-malignant)	TMC5	0.731	0.3673	343
Epithelial (non-malignant)	WNT5A	0.0037	0.0029	343
Epithelial (non-malignant)	ZDHHC7	0.2378	0.1458	343
Cancer-associated fibroblast	ASAP2	0.5984	0.2984	496
Cancer-associated fibroblast	COL12A1	1.2537	0.4657	496
Cancer-associated fibroblast	LY75	0.0	0.0	496
Cancer-associated fibroblast	SLC6A14	0.0	0.0	496
Cancer-associated fibroblast	ALDH1A1	0.1394	0.0806	496
Cancer-associated fibroblast	ALDH1L2	0.1803	0.119	496
Cancer-associated fibroblast	CAST	0.6014	0.3387	496
Cancer-associated fibroblast	CHAD	0.0	0.0	496
Cancer-associated fibroblast	CITED2	0.0765	0.0363	496
