dataset	method	module	n_control	n_tumor	mean_control	mean_tumor	logFC	p	auc	fdr
GSE15471	gsva_ssgsea	caf_fibroblast	36	36	0.36030422470124	0.5729221971324183	0.2126179724311782	1.938221961943567e-11	0.9158950617283952	1.4599895748667887e-09
GSE15471	gsva_ssgsea	immune_myeloid	36	36	0.3419226669111819	0.5100844923469604	0.1681618254357784	7.289490052661897e-05	0.7646604938271605	0.0002691504019444393
GSE15471	gsva_ssgsea	t_cell	36	36	0.2383961260295992	0.3202510245052046	0.0818548984756054	0.0233022617454309	0.6550925925925926	0.0399467344207387
GSE15471	gsva_ssgsea	b_cell	36	36	0.1644269796993601	0.1898150620982762	0.025388082398916	0.3668203366691319	0.5625	0.5030678902890953
GSE15471	gsva_ssgsea	endothelial	36	36	0.3126685516568345	0.3482613212698364	0.0355927696130018	0.0069444970878641	0.683641975308642	0.013333434408699
GSE15471	gsva_ssgsea	ductal_epithelial	36	36	0.3770392459697974	0.5060442655874743	0.1290050196176769	5.724915622353118e-07	0.8263888888888888	4.22762999804538e-06
GSE15471	gsva_ssgsea	acinar_normal	36	36	0.4833823131714039	0.5191120196755334	0.0357297065041295	0.1794536357555126	0.4074074074074074	0.2610234701898365
GSE15471	gsva_ssgsea	endocrine_normal	36	36	0.391004418362663	0.4115655827752283	0.0205611644125652	0.4427504550287662	0.4467592592592592	0.5822471737364597
GSE15471	marker_zscore	caf_fibroblast	36	36	-0.7040851027955839	0.7040851027955837	1.4081702055911676	3.041644947639143e-11	0.9128086419753086	1.4599895748667887e-09
GSE15471	marker_zscore	immune_myeloid	36	36	-0.4684921175443012	0.468492117544301	0.9369842350886022	5.598602811227963e-05	0.7685185185185185	0.0002336808129903845
GSE15471	marker_zscore	t_cell	36	36	-0.0764057024534793	0.0764057024534793	0.1528114049069586	0.1686951954462371	0.5949074074074074	0.2491498271205964
GSE15471	marker_zscore	b_cell	36	36	0.0624270917595784	-0.062427091759578	-0.1248541835191564	0.724372501457536	0.4753086419753086	0.8278542873800411
GSE15471	marker_zscore	endothelial	36	36	-0.1012688778569678	0.1012688778569678	0.2025377557139356	0.0382348665576616	0.6419753086419753	0.0643955647286933
GSE15471	marker_zscore	ductal_epithelial	36	36	-0.3361574840131775	0.3361574840131773	0.6723149680263548	6.225486068645035e-05	0.7669753086419753	0.0002490194427458014
GSE15471	marker_zscore	acinar_normal	36	36	0.1177946702692615	-0.1177946702692615	-0.2355893405385231	0.0798534920742618	0.3796296296296296	0.1216815117322085
GSE15471	marker_zscore	endocrine_normal	36	36	0.0195877903023873	-0.0195877903023873	-0.0391755806047746	0.6828118487560149	0.4714506172839506	0.7897582828985231
GSE28735	gsva_ssgsea	caf_fibroblast	45	45	0.4885202781025806	0.5733961385742085	0.0848758604716278	5.182722740803852e-05	0.7422222222222222	0.00022790937675011823
GSE28735	gsva_ssgsea	immune_myeloid	45	45	0.299953625537441	0.350737449616586	0.050783824079145	0.1276525759133822	0.5935802469135802	0.1914788638700733
GSE28735	gsva_ssgsea	t_cell	45	45	0.0343915430063997	0.0356385741833427	0.0012470311769429	0.8471853820564911	0.5120987654320988	0.9242022349707176
GSE28735	gsva_ssgsea	b_cell	45	45	-0.0412469191496067	-0.0471371089144115	-0.0058901897648048	0.6298525847231342	0.5298765432098765	0.7626650694503865
GSE28735	gsva_ssgsea	endothelial	45	45	0.1952807985896325	0.1759403668255994	-0.0193404317640331	0.6703466150831844	0.4735802469135802	0.7847960371705572
