method	score	tme_class	n	median_abs_rho
gsva_ssgsea	acinar_normal	composition_covarying	3186	0.5051761068041671
gsva_ssgsea	acinar_normal	mixed_or_ambiguous	2620	0.461896926805599
gsva_ssgsea	acinar_normal	not_meta_significant	5484	0.30813018834661454
gsva_ssgsea	acinar_normal	tumor_associated_retained_under_S1	1637	0.47662521909556754
gsva_ssgsea	b_cell	composition_covarying	3186	0.2557939239633369
gsva_ssgsea	b_cell	mixed_or_ambiguous	2620	0.17183274559221964
gsva_ssgsea	b_cell	not_meta_significant	5484	0.17928879743218368
gsva_ssgsea	b_cell	tumor_associated_retained_under_S1	1637	0.14693321945230342
gsva_ssgsea	caf_fibroblast	composition_covarying	3186	0.608710484234372
gsva_ssgsea	caf_fibroblast	mixed_or_ambiguous	2620	0.4148547544592116
gsva_ssgsea	caf_fibroblast	not_meta_significant	5484	0.31717530920582204
gsva_ssgsea	caf_fibroblast	tumor_associated_retained_under_S1	1637	0.4321693844446341
gsva_ssgsea	ductal_epithelial	composition_covarying	3186	0.1708761135047578
gsva_ssgsea	ductal_epithelial	mixed_or_ambiguous	2620	0.27754897164639336
gsva_ssgsea	ductal_epithelial	not_meta_significant	5484	0.18991532783326096
gsva_ssgsea	ductal_epithelial	tumor_associated_retained_under_S1	1637	0.41360545992589903
gsva_ssgsea	endocrine_normal	composition_covarying	3186	0.3656446445161439
gsva_ssgsea	endocrine_normal	mixed_or_ambiguous	2620	0.38981991077612355
gsva_ssgsea	endocrine_normal	not_meta_significant	5484	0.24645476798062765
gsva_ssgsea	endocrine_normal	tumor_associated_retained_under_S1	1637	0.42220646668040596
gsva_ssgsea	endothelial	composition_covarying	3186	0.21688706430347768
gsva_ssgsea	endothelial	mixed_or_ambiguous	2620	0.1440281017620399
gsva_ssgsea	endothelial	not_meta_significant	5484	0.20096581599271168
gsva_ssgsea	endothelial	tumor_associated_retained_under_S1	1637	0.14124188885909897
gsva_ssgsea	immune_myeloid	composition_covarying	3186	0.5709242053992315
gsva_ssgsea	immune_myeloid	mixed_or_ambiguous	2620	0.3314740016432316
gsva_ssgsea	immune_myeloid	not_meta_significant	5484	0.31156495480203683
gsva_ssgsea	immune_myeloid	tumor_associated_retained_under_S1	1637	0.327265454716568
gsva_ssgsea	t_cell	composition_covarying	3186	0.46705814630385756
gsva_ssgsea	t_cell	mixed_or_ambiguous	2620	0.29010216196043137
gsva_ssgsea	t_cell	not_meta_significant	5484	0.2864229728503507
gsva_ssgsea	t_cell	tumor_associated_retained_under_S1	1637	0.2803951367781155
marker_zscore	acinar_normal	composition_covarying	3186	0.5230681701485982
marker_zscore	acinar_normal	mixed_or_ambiguous	2620	0.47091734794718004
marker_zscore	acinar_normal	not_meta_significant	5484	0.31463422042624434
marker_zscore	acinar_normal	tumor_associated_retained_under_S1	1637	0.4875162831089883
marker_zscore	b_cell	composition_covarying	3186	0.23715606814891096
marker_zscore	b_cell	mixed_or_ambiguous	2620	0.15027000715579628
marker_zscore	b_cell	not_meta_significant	5484	0.17532467532467533
marker_zscore	b_cell	tumor_associated_retained_under_S1	1637	0.13992356991907956
marker_zscore	caf_fibroblast	composition_covarying	3186	0.6178193915937781
marker_zscore	caf_fibroblast	mixed_or_ambiguous	2620	0.4124106513320469
marker_zscore	caf_fibroblast	not_meta_significant	5484	0.3257358184243327
marker_zscore	caf_fibroblast	tumor_associated_retained_under_S1	1637	0.42899905840583485
marker_zscore	ductal_epithelial	composition_covarying	3186	0.14299075973761827
marker_zscore	ductal_epithelial	mixed_or_ambiguous	2620	0.24647487344116556
marker_zscore	ductal_epithelial	not_meta_significant	5484	0.203194287325836
marker_zscore	ductal_epithelial	tumor_associated_retained_under_S1	1637	0.3619314337438893
marker_zscore	endocrine_normal	composition_covarying	3186	0.32445195904125235
marker_zscore	endocrine_normal	mixed_or_ambiguous	2620	0.3553283169335649
marker_zscore	endocrine_normal	not_meta_significant	5484	0.23262847421955785
marker_zscore	endocrine_normal	tumor_associated_retained_under_S1	1637	0.38582894157973036
marker_zscore	endothelial	composition_covarying	3186	0.2296906160739453
marker_zscore	endothelial	mixed_or_ambiguous	2620	0.14545454545454545
marker_zscore	endothelial	not_meta_significant	5484	0.20411990855290407
marker_zscore	endothelial	tumor_associated_retained_under_S1	1637	0.1388566489690085
marker_zscore	immune_myeloid	composition_covarying	3186	0.574756410160977
marker_zscore	immune_myeloid	mixed_or_ambiguous	2620	0.3381872825449874
marker_zscore	immune_myeloid	not_meta_significant	5484	0.30918561787107646
marker_zscore	immune_myeloid	tumor_associated_retained_under_S1	1637	0.33480692264032996
marker_zscore	t_cell	composition_covarying	3186	0.4007738291511408
marker_zscore	t_cell	mixed_or_ambiguous	2620	0.24950381510324426
marker_zscore	t_cell	not_meta_significant	5484	0.2606580189978176
marker_zscore	t_cell	tumor_associated_retained_under_S1	1637	0.23759513759148654
