gene	depmap_expression_col	n_all_expression	n_pancreas_expression	mean_expression_all	mean_expression_pancreas	pancreas_expression_percentile	depmap_crispr_col	n_all_crispr	n_pancreas_crispr	median_gene_effect_all	median_gene_effect_pancreas	n_pancreas_strong_dependency_lt_minus1	n_pancreas_dependency_lt_minus05	depmap_expression_status	depmap_crispr_status
COL12A1	COL12A1 (1303)	1775.0	58.0	3.22291717068169	3.0802701787931035	0.52	COL12A1 (1303)	1208.0	48.0	-0.0077308688152443	-0.034102224581492	0.0	0.0	matched	matched
SGIP1	SGIP1 (84251)	1775.0	58.0	0.7281817172016901	0.2337280231551724	0.6433802816901408	SGIP1 (84251)	1208.0	48.0	-0.0904586039442599	-0.0408207175043092	0.0	0.0	matched	matched
ASAP2	ASAP2 (8853)	1775.0	58.0	3.181905730035493	4.390859796551724	0.8253521126760563	ASAP2 (8853)	1208.0	48.0	0.1338565388998163	0.1669031857838027	0.0	0.0	matched	matched
SLC44A1	SLC44A1 (23446)	1775.0	58.0	4.147090357423662	4.202287755172414	0.5025352112676056	SLC44A1 (23446)	1208.0	48.0	0.0322057839689197	0.0331165915025939	0.0	0.0	matched	matched
NET1	NET1 (10276)	1775.0	58.0	5.044805246366197	6.216882272413793	0.8140845070422535	NET1 (10276)	1208.0	48.0	0.0060545470180278	-0.0516257552063283	0.0	0.0	matched	matched
CHAD	CHAD (1101)	1775.0	58.0	0.3426236347521126	0.5541233758448276	0.8005633802816902	CHAD (1101)	1208.0	48.0	-0.111450462048252	-0.0787557628039091	0.0	0.0	matched	matched
GATA2	GATA2 (2624)	1775.0	58.0	2.631698094038873	2.5305971879310345	0.504225352112676	GATA2 (2624)	1208.0	48.0	0.0509560079472395	0.0840122264647979	0.0	0.0	matched	matched
ALDH1L2	ALDH1L2 (160428)	1775.0	58.0	1.9185571892377464	1.2220558020344827	0.4692957746478873	ALDH1L2 (160428)	1208.0	48.0	0.0103903156055122	0.048612010805591	0.0	0.0	matched	matched
PRKCQ	PRKCQ (5588)	1775.0	58.0	0.747620767340845	0.5708486111551724	0.6315492957746479	PRKCQ (5588)	1208.0	48.0	0.0568070619024028	0.0649411792316649	0.0	0.0	matched	matched
ALDH1A1	ALDH1A1 (216)	1775.0	58.0	2.653328381016338	3.57805891137931	0.7154929577464789	ALDH1A1 (216)	1208.0	48.0	0.0587059261654062	0.0886774133452635	0.0	0.0	matched	matched
OXSR1	OXSR1 (9943)	1775.0	58.0	4.722911488904225	4.632163374137931	0.4309859154929577	OXSR1 (9943)	1208.0	48.0	-0.0183041369312806	-0.0172478356705218	0.0	0.0	matched	matched
TMC5	TMC5 (79838)	1775.0	58.0	1.1851318774287325	3.490316129913793	0.8630985915492958	TMC5 (79838)	1208.0	48.0	-0.0412679433761616	-0.0305854055773867	0.0	0.0	matched	matched
PTPRS	PTPRS (5802)	1775.0	58.0	3.2353940295211268	2.099565617137931	0.24	PTPRS (5802)	1208.0	48.0	0.06607436797441	0.0988019329134582	0.0	0.0	matched	matched
F8	F8 (2157)	1775.0	58.0	1.951582095788169	1.8942415594827584	0.523943661971831	F8 (2157)	1208.0	48.0	0.0703876068670263	0.070502102510222	0.0	0.0	matched	matched
KITLG	KITLG (4254)	1775.0	58.0	2.9395074907402816	3.5765439937931034	0.6005633802816901	KITLG (4254)	1208.0	48.0	0.0992175488890934	0.0716310121568575	0.0	0.0	matched	matched
KLF11	KLF11 (8462)	1775.0	58.0	2.6636672135661974	2.4737328643103447	0.396056338028169	KLF11 (8462)	1208.0	48.0	0.002172919672045	0.0218997270690334	0.0	0.0	matched	matched
ITGB8	ITGB8 (3696)	1775.0	58.0	2.209985445713803	3.144875543448276	0.6878873239436619	ITGB8 (3696)	1208.0	48.0	0.008708991721945	0.0062462296556781	0.0	0.0	matched	matched
SLC6A14	SLC6A14 (11254)	1775.0	58.0	0.4332419079605634	1.8291538008103447	0.92	SLC6A14 (11254)	1208.0	48.0	0.0880369915465942	0.1031542212226453	0.0	0.0	matched	matched
KDM5B	KDM5B (10765)	1775.0	58.0	4.536547312579718	4.3630976517241375	0.3436619718309859	KDM5B (10765)	1208.0	48.0	-0.078182084900758	-0.0624617286131916	0.0	0.0	matched	matched
SLC39A8	SLC39A8 (64116)	1775.0	58.0	3.759192033824789	3.70112226724138	0.4523943661971831	SLC39A8 (64116)	1208.0	48.0	-0.0288835635188184	-0.0364607595483645	0.0	0.0	matched	matched
KRT14	KRT14 (3861)	1775.0	58.0	1.2123716809684506	0.8603718891206896	0.752112676056338	KRT14 (3861)	1208.0	48.0	-0.0258786657731307	0.0077063494593471	0.0	0.0	matched	matched
PRKAR2B	PRKAR2B (5577)	1775.0	58.0	2.3161886207177464	1.088700779724138	0.3149295774647887	PRKAR2B (5577)	1208.0	48.0	0.0766399249160005	0.10248814467431	0.0	0.0	matched	matched
LY75	LY75 (4065)	1775.0	58.0	1.4741452830630986	2.658623555448276	0.7357746478873239	LY75 (4065)	1208.0	48.0	0.0185996419073568	0.0544223534986712	0.0	0.0	matched	matched
SSH1	SSH1 (54434)	1775.0	58.0	3.514876829064789	3.368475301724138	0.4676056338028169	SSH1 (54434)	1208.0	48.0	-0.1674517452122437	-0.1835429410993204	0.0	0.0	matched	matched
NR3C2	NR3C2 (4306)	1775.0	58.0	0.6875587287847887	0.9235632058275862	0.7256338028169014	NR3C2 (4306)	1208.0	48.0	0.0443934323592883	0.0431109012424382	0.0	0.0	matched	matched
PRKCI	PRKCI (5584)	1775.0	58.0	4.983410075492958	5.203384346551724	0.5943661971830986	PRKCI (5584)	1208.0	48.0	-0.062467906642689	-0.0909679567669201	0.0	7.0	matched	matched
CPEB3	CPEB3 (22849)	1775.0	58.0	0.9572270466535212	0.9354133651724138	0.5780281690140845	CPEB3 (22849)	1208.0	48.0	0.0504243515298414	0.097657219899864	0.0	0.0	matched	matched
ZDHHC7	ZDHHC7 (55625)	1775.0	58.0	5.316140459380282	5.841630581034483	0.7346478873239437	ZDHHC7 (55625)	1208.0	48.0	-0.1159848083724472	-0.0936146146454776	0.0	1.0	matched	matched
LPP	LPP (4026)	1775.0	58.0	3.0511237991921125	3.236296874137931	0.5115492957746479	LPP (4026)	1208.0	48.0	0.0601988356711518	0.0950985695001496	0.0	0.0	matched	matched
PLEKHA7	PLEKHA7 (144100)	1775.0	58.0	2.3810374979014086	4.1696645460344826	0.8140845070422535	PLEKHA7 (144100)	1208.0	48.0	0.0275797090307743	0.0188941250238756	0.0	0.0	matched	matched
DDC	DDC (1644)	1775.0	58.0	0.8860180076157746	0.6840798924482758	0.7859154929577464	DDC (1644)	1208.0	48.0	0.1066659753036143	0.0985204533131445	0.0	0.0	matched	matched
CAST	CAST (831)	1775.0	58.0	6.178015492929577	6.801331975862069	0.6726760563380282	CAST (831)	1208.0	48.0	-0.2143471942626955	-0.2389455732740218	0.0	3.0	matched	matched
PSMB3	PSMB3 (5691)	1775.0	58.0	7.993170868	7.951541679310345	0.4901408450704225	PSMB3 (5691)	1208.0	48.0	-3.0969629945885435	-3.2228731355946905	48.0	48.0	matched	matched
PRIM2	PRIM2 (5558)	1775.0	58.0	4.456976449504225	4.162134527586207	0.3357746478873239	PRIM2 (5558)	74.0	2.0	-3.2190293358167468	-3.269755220420169	2.0	2.0	matched	matched
WNT5A	WNT5A (7474)	1775.0	58.0	2.217769642505916	0.722934479362069	0.4078873239436619	WNT5A (7474)	1208.0	48.0	0.0368276365006641	0.016923751093932	0.0	0.0	matched	matched
SLC6A6	SLC6A6 (6533)	1775.0	58.0	3.928324310771831	4.101778351724138	0.5554929577464789	SLC6A6 (6533)	1208.0	48.0	-0.2116801130509407	-0.2516171146821263	0.0	3.0	matched	matched
NPR3	NPR3 (4883)	1775.0	58.0	1.1847580178078874	0.4213352391206896	0.5419718309859155	NPR3 (4883)	1208.0	48.0	0.1111419590290911	0.1411055460503903	0.0	0.0	matched	matched
CITED2	CITED2 (10370)	1775.0	58.0	5.049276699687887	4.73071013275862	0.4473239436619718	CITED2 (10370)	1208.0	48.0	-0.1614361465826806	-0.080655689120391	0.0	0.0	matched	matched
TANC2	TANC2 (26115)	1775.0	58.0	2.847799574251831	2.778891413620689	0.4507042253521127	TANC2 (26115)	1208.0	48.0	0.0094087461783116	0.0268887945614131	0.0	0.0	matched	matched
GRHL1	GRHL1 (29841)	1775.0	58.0	1.7069035219442257	2.3513824339655174	0.7194366197183099	GRHL1 (29841)	1208.0	48.0	0.1407618013726721	0.1019933925805067	0.0	0.0	matched	matched
KIAA1324														not_found	not_found
CYP27C1	CYP27C1 (339761)	1775.0	58.0	0.6573254187228169	0.8382441965862069	0.6912676056338029	CYP27C1 (339761)	1208.0	48.0	0.0106436139497094	0.0172217924976528	0.0	0.0	matched	matched
BLZF1	BLZF1 (8548)	1775.0	58.0	4.414704412901409	4.612716205172414	0.5853521126760564	BLZF1 (8548)	1208.0	48.0	-0.0878603249531857	-0.1046299914522383	0.0	0.0	matched	matched
PPFIBP1	PPFIBP1 (8496)	1775.0	58.0	4.764106622217465	4.808969334482758	0.464225352112676	PPFIBP1 (8496)	1208.0	48.0	0.0540709197048518	0.0172335993834208	0.0	0.0	matched	matched
NPR1	NPR1 (4881)	1775.0	58.0	0.4203763003233803	0.2579296048275862	0.6822535211267605	NPR1 (4881)	1208.0	48.0	-0.0328492609185942	-0.0313365939420455	0.0	0.0	matched	matched
NUAK1	NUAK1 (9891)	1775.0	58.0	2.337708071456338	2.3622602027586206	0.4974647887323943	NUAK1 (9891)	1208.0	48.0	-0.0294214901183208	-0.0286132192938019	0.0	0.0	matched	matched
TRIM59	TRIM59 (286827)	1775.0	58.0	3.79460866903662	4.177543108620689	0.6197183098591549	TRIM59 (286827)	1208.0	48.0	0.1135115844461052	0.1377647739611052	0.0	0.0	matched	matched
SLC46A1	SLC46A1 (113235)	1775.0	58.0	2.7998315654895776	2.965508456896552	0.5295774647887324	SLC46A1 (113235)	74.0	2.0	0.0038137260028596	-0.1079097309536456	0.0	0.0	matched	matched
PGM2L1	PGM2L1 (283209)	1775.0	58.0	1.8704968373205637	1.8900701936206896	0.5577464788732395	PGM2L1 (283209)	1208.0	48.0	0.0098844246726613	0.068194112824816	0.0	0.0	matched	matched
HIST1H4H														not_found	not_found
SERPINB9	SERPINB9 (5272)	1775.0	58.0	1.5457020972366198	2.781768075862069	0.7707042253521127	SERPINB9 (5272)	1208.0	48.0	0.0937850334329029	0.1226223127768738	0.0	0.0	matched	matched
CERS6	CERS6 (253782)	1775.0	58.0	3.6478942511030983	3.630795822413793	0.4270422535211267	CERS6 (253782)	1208.0	48.0	0.0390866539348761	-0.0041303398578463	0.0	0.0	matched	matched
HADH	HADH (3033)	1775.0	58.0	5.267300135887324	5.047457037931035	0.4191549295774648	HADH (3033)	1208.0	48.0	-0.0916177032049317	-0.1081324160180095	0.0	0.0	matched	matched
ARL6IP1	ARL6IP1 (23204)	1775.0	58.0	8.16583003571831	8.529070120689655	0.652394366197183	ARL6IP1 (23204)	1208.0	48.0	-0.0526764659740988	-0.0422560246596821	0.0	0.0	matched	matched
CEACAM6	CEACAM6 (4680)	1775.0	58.0	1.4681629857521126	5.112120223965517	0.8856338028169014	CEACAM6 (4680)	1208.0	48.0	-0.2329285364794534	-0.1905769184330871	0.0	2.0	matched	matched
