gene	ensembl	opentargets_status	approved_symbol	approved_name	biotype	tractability	top_disease_name	top_disease_score	pancreas_disease_name	pancreas_disease_score	known_drug_count	known_drugs	pancreas_known_drug_count	pancreas_known_drugs
COL12A1	ENSG00000111799	ok	COL12A1	collagen type XII alpha 1 chain	protein_coding	SM:Approved Drug:FALSE; SM:Advanced Clinical:FALSE; SM:Phase 1 Clinical:FALSE; SM:Structure with Ligand:FALSE; SM:High-Quality Ligand:FALSE; SM:High-Quality Pocket:FALSE; SM:Med-Quality Pocket:FALSE; SM:Druggable Family:FALSE; AB:Approved Drug:FALSE; AB:Advanced Clinical:FALSE; AB:Phase 1 Clinical:FALSE; AB:UniProt loc high conf:FALSE; AB:GO CC high conf:TRUE; AB:UniProt loc med conf:TRUE; AB:UniProt SigP or TMHMM:TRUE; AB:GO CC med conf:FALSE; AB:Human Protein Atlas loc:FALSE; PR:Approved Drug:FALSE; PR:Advanced Clinical:FALSE; PR:Phase 1 Clinical:FALSE; PR:Literature:FALSE; PR:UniProt Ubiquitination:FALSE; PR:Database Ubiquitination:TRUE; PR:Half-life Data:FALSE; PR:Small Molecule Binder:FALSE; OC:Approved Drug:FALSE; OC:Advanced Clinical:FALSE; OC:Phase 1 Clinical:FALSE	Bethlem myopathy 2	0.7937293760953129	pancreatic neoplasm	0.0722646196589369	0.0		0.0	
SGIP1	ENSG00000118473	ok	SGIP1	SH3GL interacting endocytic adaptor 1	protein_coding	SM:Approved Drug:FALSE; SM:Advanced Clinical:FALSE; SM:Phase 1 Clinical:FALSE; SM:Structure with Ligand:FALSE; SM:High-Quality Ligand:FALSE; SM:High-Quality Pocket:FALSE; SM:Med-Quality Pocket:FALSE; SM:Druggable Family:FALSE; AB:Approved Drug:FALSE; AB:Advanced Clinical:FALSE; AB:Phase 1 Clinical:FALSE; AB:UniProt loc high conf:TRUE; AB:GO CC high conf:TRUE; AB:UniProt loc med conf:FALSE; AB:UniProt SigP or TMHMM:FALSE; AB:GO CC med conf:FALSE; AB:Human Protein Atlas loc:FALSE; PR:Approved Drug:FALSE; PR:Advanced Clinical:FALSE; PR:Phase 1 Clinical:FALSE; PR:Literature:FALSE; PR:UniProt Ubiquitination:FALSE; PR:Database Ubiquitination:FALSE; PR:Half-life Data:TRUE; PR:Small Molecule Binder:FALSE; OC:Approved Drug:FALSE; OC:Advanced Clinical:FALSE; OC:Phase 1 Clinical:FALSE	type 2 diabetes mellitus	0.4017287502129009			0.0		0.0	
ASAP2	ENSG00000151693	ok	ASAP2	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2	protein_coding	SM:Approved Drug:FALSE; SM:Advanced Clinical:FALSE; SM:Phase 1 Clinical:FALSE; SM:Structure with Ligand:FALSE; SM:High-Quality Ligand:FALSE; SM:High-Quality Pocket:FALSE; SM:Med-Quality Pocket:FALSE; SM:Druggable Family:FALSE; AB:Approved Drug:FALSE; AB:Advanced Clinical:FALSE; AB:Phase 1 Clinical:FALSE; AB:UniProt loc high conf:FALSE; AB:GO CC high conf:TRUE; AB:UniProt loc med conf:TRUE; AB:UniProt SigP or TMHMM:FALSE; AB:GO CC med conf:FALSE; AB:Human Protein Atlas loc:TRUE; PR:Approved Drug:FALSE; PR:Advanced Clinical:FALSE; PR:Phase 1 Clinical:FALSE; PR:Literature:FALSE; PR:UniProt Ubiquitination:FALSE; PR:Database Ubiquitination:TRUE; PR:Half-life Data:TRUE; PR:Small Molecule Binder:FALSE; OC:Approved Drug:FALSE; OC:Advanced Clinical:FALSE; OC:Phase 1 Clinical:FALSE	neurodegenerative disease	0.4619748183558772	pancreatic neoplasm	0.0149166535793575	0.0		0.0	
SLC44A1	ENSG00000070214	ok	SLC44A1	solute carrier family 44 member 1	protein_coding	SM:Approved Drug:FALSE; SM:Advanced Clinical:FALSE; SM:Phase 1 Clinical:FALSE; SM:Structure with Ligand:TRUE; SM:High-Quality Ligand:FALSE; SM:High-Quality Pocket:FALSE; SM:Med-Quality Pocket:FALSE; SM:Druggable Family:FALSE; AB:Approved Drug:FALSE; AB:Advanced Clinical:FALSE; AB:Phase 1 Clinical:FALSE; AB:UniProt loc high conf:TRUE; AB:GO CC high conf:TRUE; AB:UniProt loc med conf:FALSE; AB:UniProt SigP or TMHMM:TRUE; AB:GO CC med conf:FALSE; AB:Human Protein Atlas loc:FALSE; PR:Approved Drug:FALSE; PR:Advanced Clinical:FALSE; PR:Phase 1 Clinical:FALSE; PR:Literature:FALSE; PR:UniProt Ubiquitination:FALSE; PR:Database Ubiquitination:TRUE; PR:Half-life Data:TRUE; PR:Small Molecule Binder:FALSE; OC:Approved Drug:FALSE; OC:Advanced Clinical:FALSE; OC:Phase 1 Clinical:FALSE	neurodegeneration, childhood-onset, with ataxia, tremor, optic atrophy, and cognitive decline	0.6374739187957377			0.0		0.0	
NET1	ENSG00000173848	ok	NET1	neuroepithelial cell transforming 1	protein_coding	SM:Approved Drug:FALSE; SM:Advanced Clinical:FALSE; SM:Phase 1 Clinical:FALSE; SM:Structure with Ligand:FALSE; SM:High-Quality Ligand:FALSE; SM:High-Quality Pocket:FALSE; SM:Med-Quality Pocket:FALSE; SM:Druggable Family:FALSE; AB:Approved Drug:FALSE; AB:Advanced Clinical:FALSE; AB:Phase 1 Clinical:FALSE; AB:UniProt loc high conf:FALSE; AB:GO CC high conf:FALSE; AB:UniProt loc med conf:FALSE; AB:UniProt SigP or TMHMM:FALSE; AB:GO CC med conf:FALSE; AB:Human Protein Atlas loc:FALSE; PR:Approved Drug:FALSE; PR:Advanced Clinical:FALSE; PR:Phase 1 Clinical:FALSE; PR:Literature:FALSE; PR:UniProt Ubiquitination:FALSE; PR:Database Ubiquitination:TRUE; PR:Half-life Data:FALSE; PR:Small Molecule Binder:FALSE; OC:Approved Drug:FALSE; OC:Advanced Clinical:FALSE; OC:Phase 1 Clinical:FALSE	alcohol drinking	0.2497786662415463	pancreatic adenocarcinoma	0.0162615136061268	0.0		0.0	
CHAD	ENSG00000136457	ok	CHAD	chondroadherin	protein_coding	SM:Approved Drug:FALSE; SM:Advanced Clinical:FALSE; SM:Phase 1 Clinical:FALSE; SM:Structure with Ligand:FALSE; SM:High-Quality Ligand:FALSE; SM:High-Quality Pocket:FALSE; SM:Med-Quality Pocket:FALSE; SM:Druggable Family:FALSE; AB:Approved Drug:FALSE; AB:Advanced Clinical:FALSE; AB:Phase 1 Clinical:FALSE; AB:UniProt loc high conf:FALSE; AB:GO CC high conf:FALSE; AB:UniProt loc med conf:TRUE; AB:UniProt SigP or TMHMM:TRUE; AB:GO CC med conf:TRUE; AB:Human Protein Atlas loc:FALSE; PR:Approved Drug:FALSE; PR:Advanced Clinical:FALSE; PR:Phase 1 Clinical:FALSE; PR:Literature:FALSE; PR:UniProt Ubiquitination:FALSE; PR:Database Ubiquitination:FALSE; PR:Half-life Data:FALSE; PR:Small Molecule Binder:FALSE; OC:Approved Drug:FALSE; OC:Advanced Clinical:FALSE; OC:Phase 1 Clinical:FALSE	hepatocellular carcinoma	0.0749117833231741			0.0		0.0	
GATA2	ENSG00000179348	ok	GATA2	GATA binding protein 2	protein_coding	SM:Approved Drug:FALSE; SM:Advanced Clinical:FALSE; SM:Phase 1 Clinical:FALSE; SM:Structure with Ligand:FALSE; SM:High-Quality Ligand:FALSE; SM:High-Quality Pocket:FALSE; SM:Med-Quality Pocket:FALSE; SM:Druggable Family:FALSE; AB:Approved Drug:FALSE; AB:Advanced Clinical:FALSE; AB:Phase 1 Clinical:FALSE; AB:UniProt loc high conf:FALSE; AB:GO CC high conf:FALSE; AB:UniProt loc med conf:FALSE; AB:UniProt SigP or TMHMM:FALSE; AB:GO CC med conf:FALSE; AB:Human Protein Atlas loc:FALSE; PR:Approved Drug:FALSE; PR:Advanced Clinical:FALSE; PR:Phase 1 Clinical:FALSE; PR:Literature:FALSE; PR:UniProt Ubiquitination:TRUE; PR:Database Ubiquitination:TRUE; PR:Half-life Data:FALSE; PR:Small Molecule Binder:FALSE; OC:Approved Drug:FALSE; OC:Advanced Clinical:FALSE; OC:Phase 1 Clinical:FALSE	monocytopenia with susceptibility to infections	0.8201096634071214			0.0		0.0	
ALDH1L2	ENSG00000136010	ok	ALDH1L2	aldehyde dehydrogenase 1 family member L2	protein_coding	SM:Approved Drug:FALSE; SM:Advanced Clinical:FALSE; SM:Phase 1 Clinical:FALSE; SM:Structure with Ligand:FALSE; SM:High-Quality Ligand:FALSE; SM:High-Quality Pocket:FALSE; SM:Med-Quality Pocket:FALSE; SM:Druggable Family:TRUE; AB:Approved Drug:FALSE; AB:Advanced Clinical:FALSE; AB:Phase 1 Clinical:FALSE; AB:UniProt loc high conf:FALSE; AB:GO CC high conf:FALSE; AB:UniProt loc med conf:FALSE; AB:UniProt SigP or TMHMM:FALSE; AB:GO CC med conf:FALSE; AB:Human Protein Atlas loc:FALSE; PR:Approved Drug:FALSE; PR:Advanced Clinical:FALSE; PR:Phase 1 Clinical:FALSE; PR:Literature:FALSE; PR:UniProt Ubiquitination:FALSE; PR:Database Ubiquitination:TRUE; PR:Half-life Data:TRUE; PR:Small Molecule Binder:FALSE; OC:Approved Drug:FALSE; OC:Advanced Clinical:FALSE; OC:Phase 1 Clinical:FALSE	COVID-19	0.2708493306696973			0.0		0.0	
PRKCQ	ENSG00000065675	ok	PRKCQ	protein kinase C theta	protein_coding	SM:Approved Drug:TRUE; SM:Advanced Clinical:FALSE; SM:Phase 1 Clinical:FALSE; SM:Structure with Ligand:TRUE; SM:High-Quality Ligand:TRUE; SM:High-Quality Pocket:FALSE; SM:Med-Quality Pocket:TRUE; SM:Druggable Family:TRUE; AB:Approved Drug:FALSE; AB:Advanced Clinical:FALSE; AB:Phase 1 Clinical:FALSE; AB:UniProt loc high conf:FALSE; AB:GO CC high conf:TRUE; AB:UniProt loc med conf:TRUE; AB:UniProt SigP or TMHMM:FALSE; AB:GO CC med conf:FALSE; AB:Human Protein Atlas loc:FALSE; PR:Approved Drug:FALSE; PR:Advanced Clinical:FALSE; PR:Phase 1 Clinical:FALSE; PR:Literature:FALSE; PR:UniProt Ubiquitination:FALSE; PR:Database Ubiquitination:TRUE; PR:Half-life Data:TRUE; PR:Small Molecule Binder:TRUE; OC:Approved Drug:FALSE; OC:Advanced Clinical:FALSE; OC:Phase 1 Clinical:FALSE	acute myeloid leukemia	0.5413648509273041			5.0	UCN-01:non-small cell lung carcinoma,kidney cancer,renal cell carcinoma,exocrine pancreatic carcinoma,melanoma,primary peritoneal carcinoma,malignant epithelial tumor of ovary,ovarian carcinoma,fallopian tube cancer,anaplastic large cell lymphoma,mature T-cell and NK-cell non-Hodgkin lymphoma,small cell lung carcinoma,B-cell chronic lymphocytic leukemia,neoplasm,solid tumor malignancies,chronic lymphoproliferative disorders,solid tumors,myelodysplastic syndrome,acute myeloid leukemia,solid tumor,low-grade leukemia,low-grade lymphoma,breast cancer,malignant pancreatic neoplasm,peritoneum cancer,lymphoma,acute leukemia,chronic myelogenous leukemia, BCR-ABL1 positive:PHASE_2; MIDOSTAURIN:mast cell leukemia,mastocytosis,acute myeloid leukemia by FAB classification,systemic mastocytosis,acute myeloid leukemia,neoplasm,myelodysplastic syndrome,juvenile myelomonocytic leukemia,aggressive systemic mastocytosis,systemic mastocytosis with an associated clonal hematologic non-mast cell lineage disease,myeloid leukemia,chronic myelogenous leukemia, BCR-ABL1 positive,leukemia,FLT3 mutation,treatment-related myeloid neoplasm,myeloid sarcoma,core-binding factor leukemia,minimal residual disease positivity,molecular relapse,Myelodysplasia,acute lymphoblastic leukemia,acute leukemia,colorectal cancer,rectal cancer,mast cell sarcoma:APPROVAL; GSK-690693:haematological malignancy,solid tumors,lymphoma,hematopoietic and lymphoid cell neoplasm:PHASE_1; CEP-2563:solid tumour/cancer:PHASE_1; SOTRASTAURIN:renal transplant rejection,acute rejection,graft loss,renal transplant recipient,ulcerative colitis,intermediate uveitis,macular retinal edema,posterior uveitis,panuveitis,renal transplant recipients,psoriasis vulgaris,uveal melanoma,diffuse large B-cell lymphoma:PHASE_2	1.0	UCN-01:non-small cell lung carcinoma,kidney cancer,renal cell carcinoma,exocrine pancreatic carcinoma,melanoma,primary peritoneal carcinoma,malignant epithelial tumor of ovary,ovarian carcinoma,fallopian tube cancer,anaplastic large cell lymphoma,mature T-cell and NK-cell non-Hodgkin lymphoma,small cell lung carcinoma,B-cell chronic lymphocytic leukemia,neoplasm,solid tumor malignancies,chronic lymphoproliferative disorders,solid tumors,myelodysplastic syndrome,acute myeloid leukemia,solid tumor,low-grade leukemia,low-grade lymphoma,breast cancer,malignant pancreatic neoplasm,peritoneum cancer,lymphoma,acute leukemia,chronic myelogenous leukemia, BCR-ABL1 positive:PHASE_2
ALDH1A1	ENSG00000165092	ok	ALDH1A1	aldehyde dehydrogenase 1 family member A1	protein_coding	SM:Approved Drug:FALSE; SM:Advanced Clinical:FALSE; SM:Phase 1 Clinical:FALSE; SM:Structure with Ligand:TRUE; SM:High-Quality Ligand:TRUE; SM:High-Quality Pocket:FALSE; SM:Med-Quality Pocket:FALSE; SM:Druggable Family:TRUE; AB:Approved Drug:FALSE; AB:Advanced Clinical:FALSE; AB:Phase 1 Clinical:FALSE; AB:UniProt loc high conf:FALSE; AB:GO CC high conf:FALSE; AB:UniProt loc med conf:FALSE; AB:UniProt SigP or TMHMM:FALSE; AB:GO CC med conf:FALSE; AB:Human Protein Atlas loc:FALSE; PR:Approved Drug:FALSE; PR:Advanced Clinical:FALSE; PR:Phase 1 Clinical:FALSE; PR:Literature:FALSE; PR:UniProt Ubiquitination:FALSE; PR:Database Ubiquitination:TRUE; PR:Half-life Data:TRUE; PR:Small Molecule Binder:TRUE; OC:Approved Drug:FALSE; OC:Advanced Clinical:FALSE; OC:Phase 1 Clinical:FALSE	alcohol drinking	0.399933970322179	pancreatic neoplasm	0.0828799252070498	0.0		0.0	
