study_id	list_name	gene	direction	reported_role	evidence_type	n_genes_reported_list	curatorial_note
BHASIN_KLETT_ONCOTARGET_2016	PDAC_5_gene_classifier	TMPRSS4	up_in_PDAC	diagnostic_classifier	reported_classifier	5	Subset of 10-gene classifier; genes reported as overexpressed in PDAC.
BHASIN_KLETT_ONCOTARGET_2016	PDAC_5_gene_classifier	ECT2	up_in_PDAC	diagnostic_classifier	reported_classifier	5	Subset of 10-gene classifier; genes reported as overexpressed in PDAC.
BHASIN_KLETT_ONCOTARGET_2016	PDAC_5_gene_classifier	SERPINB5	up_in_PDAC	diagnostic_classifier	reported_classifier	5	Subset of 10-gene classifier; genes reported as overexpressed in PDAC.
BHASIN_KLETT_ONCOTARGET_2016	PDAC_5_gene_classifier	AHNAK2	up_in_PDAC	diagnostic_classifier	reported_classifier	5	Subset of 10-gene classifier; genes reported as overexpressed in PDAC.
BHASIN_KLETT_ONCOTARGET_2016	PDAC_5_gene_classifier	POSTN	up_in_PDAC	diagnostic_classifier	reported_classifier	5	Subset of 10-gene classifier; genes reported as overexpressed in PDAC.
BHASIN_KLETT_ONCOTARGET_2016	PDAC_10_gene_classifier	TMPRSS4	up_in_PDAC	diagnostic_classifier_extended	reported_classifier	10	10-gene classifier reported by Oncotarget source; direction follows text summary.
BHASIN_KLETT_ONCOTARGET_2016	PDAC_10_gene_classifier	ECT2	up_in_PDAC	diagnostic_classifier_extended	reported_classifier	10	10-gene classifier reported by Oncotarget source; direction follows text summary.
BHASIN_KLETT_ONCOTARGET_2016	PDAC_10_gene_classifier	SERPINB5	up_in_PDAC	diagnostic_classifier_extended	reported_classifier	10	10-gene classifier reported by Oncotarget source; direction follows text summary.
BHASIN_KLETT_ONCOTARGET_2016	PDAC_10_gene_classifier	AHNAK2	up_in_PDAC	diagnostic_classifier_extended	reported_classifier	10	10-gene classifier reported by Oncotarget source; direction follows text summary.
BHASIN_KLETT_ONCOTARGET_2016	PDAC_10_gene_classifier	POSTN	up_in_PDAC	diagnostic_classifier_extended	reported_classifier	10	10-gene classifier reported by Oncotarget source; direction follows text summary.
BHASIN_KLETT_ONCOTARGET_2016	PDAC_10_gene_classifier	S100P	up_in_PDAC	diagnostic_classifier_extended	reported_classifier	10	10-gene classifier reported by Oncotarget source; direction follows text summary.
BHASIN_KLETT_ONCOTARGET_2016	PDAC_10_gene_classifier	CEACAM5	up_in_PDAC	diagnostic_classifier_extended	reported_classifier	10	10-gene classifier reported by Oncotarget source; direction follows text summary.
BHASIN_KLETT_ONCOTARGET_2016	PDAC_10_gene_classifier	GABRP	up_in_PDAC	diagnostic_classifier_extended	reported_classifier	10	10-gene classifier reported by Oncotarget source; direction follows text summary.
BHASIN_KLETT_ONCOTARGET_2016	PDAC_10_gene_classifier	CELA2B	down_in_PDAC	diagnostic_classifier_extended	reported_classifier	10	10-gene classifier reported by Oncotarget source; direction follows text summary.
BHASIN_KLETT_ONCOTARGET_2016	PDAC_10_gene_classifier	CUZD1	down_in_PDAC	diagnostic_classifier_extended	reported_classifier	10	10-gene classifier reported by Oncotarget source; direction follows text summary.
ZHOU_MOLMED_2019	diagnostic_19_gene_module	SYCN	model_component	diagnostic_signature	reported_signature	19	Integrated diagnostic module.
ZHOU_MOLMED_2019	diagnostic_19_gene_module	PNLIPRP1	model_component	diagnostic_signature	reported_signature	19	Integrated diagnostic module.
ZHOU_MOLMED_2019	diagnostic_19_gene_module	CAP2	model_component	diagnostic_signature	reported_signature	19	Integrated diagnostic module.
ZHOU_MOLMED_2019	diagnostic_19_gene_module	GNMT	model_component	diagnostic_signature	reported_signature	19	Integrated diagnostic module.
ZHOU_MOLMED_2019	diagnostic_19_gene_module	MAT1A	model_component	diagnostic_signature	reported_signature	19	Integrated diagnostic module.
ZHOU_MOLMED_2019	diagnostic_19_gene_module	ABAT	model_component	diagnostic_signature	reported_signature	19	Integrated diagnostic module.
ZHOU_MOLMED_2019	diagnostic_19_gene_module	GPT2	model_component	diagnostic_signature	reported_signature	19	Integrated diagnostic module.
ZHOU_MOLMED_2019	diagnostic_19_gene_module	ADHFE1	model_component	diagnostic_signature	reported_signature	19	Integrated diagnostic module.
ZHOU_MOLMED_2019	diagnostic_19_gene_module	PHGDH	model_component	diagnostic_signature	reported_signature	19	Integrated diagnostic module.
ZHOU_MOLMED_2019	diagnostic_19_gene_module	PSAT1	model_component	diagnostic_signature	reported_signature	19	Integrated diagnostic module.
ZHOU_MOLMED_2019	diagnostic_19_gene_module	ERP27	model_component	diagnostic_signature	reported_signature	19	Integrated diagnostic module.
ZHOU_MOLMED_2019	diagnostic_19_gene_module	PDIA2	model_component	diagnostic_signature	reported_signature	19	Integrated diagnostic module.
ZHOU_MOLMED_2019	diagnostic_19_gene_module	MT1H	model_component	diagnostic_signature	reported_signature	19	Integrated diagnostic module.
ZHOU_MOLMED_2019	diagnostic_19_gene_module	COMP	model_component	diagnostic_signature	reported_signature	19	Integrated diagnostic module.
ZHOU_MOLMED_2019	diagnostic_19_gene_module	COL5A2	model_component	diagnostic_signature	reported_signature	19	Integrated diagnostic module.
ZHOU_MOLMED_2019	diagnostic_19_gene_module	FN1	model_component	diagnostic_signature	reported_signature	19	Integrated diagnostic module.
ZHOU_MOLMED_2019	diagnostic_19_gene_module	COL1A2	model_component	diagnostic_signature	reported_signature	19	Integrated diagnostic module.
ZHOU_MOLMED_2019	diagnostic_19_gene_module	FAP	model_component	diagnostic_signature	reported_signature	19	Integrated diagnostic module.
ZHOU_MOLMED_2019	diagnostic_19_gene_module	POSTN	model_component	diagnostic_signature	reported_signature	19	Integrated diagnostic module.
ZHOU_MOLMED_2019	diagnostic_4_gene_model	MAT1A	coef_positive_0.3034	diagnostic_model	reported_model	4	Four-gene diagnostic model coefficient sign; sign is model coefficient, not necessarily expression direction.
ZHOU_MOLMED_2019	diagnostic_4_gene_model	MT1H	coef_negative_-0.1526	diagnostic_model	reported_model	4	Four-gene diagnostic model coefficient sign; sign is model coefficient, not necessarily expression direction.
ZHOU_MOLMED_2019	diagnostic_4_gene_model	FN1	coef_positive_0.4645	diagnostic_model	reported_model	4	Four-gene diagnostic model coefficient sign; sign is model coefficient, not necessarily expression direction.
ZHOU_MOLMED_2019	diagnostic_4_gene_model	FAP	coef_negative_-0.2244	diagnostic_model	reported_model	4	Four-gene diagnostic model coefficient sign; sign is model coefficient, not necessarily expression direction.
ZHOU_MOLMED_2019	prognostic_4_gene_model	CEL	coef_negative_-1.400	prognostic_model	reported_model	4	Four-gene prognostic model coefficient sign; sign is model coefficient.
ZHOU_MOLMED_2019	prognostic_4_gene_model	CPA1	coef_positive_1.321	prognostic_model	reported_model	4	Four-gene prognostic model coefficient sign; sign is model coefficient.
ZHOU_MOLMED_2019	prognostic_4_gene_model	POSTN	coef_positive_0.454	prognostic_model	reported_model	4	Four-gene prognostic model coefficient sign; sign is model coefficient.
ZHOU_MOLMED_2019	prognostic_4_gene_model	PM20D1	coef_positive_1.011	prognostic_model	reported_model	4	Four-gene prognostic model coefficient sign; sign is model coefficient.
MA_ONCOL_LETT_2019	PPI_top_10_hub_genes	ALB	hub_high_degree	PPI_hub_pathogenesis	reported_hub	10	Top PPI hub genes in multi-platform meta-analysis.
