atlas_module	signature_source	subtype_class	atlas_genes	subtype_genes	overlap_genes	fraction_subtype_recovered	fraction_atlas_explained	fisher_or	fisher_p	overlapping_gene_list	fdr
tier1_core	SignatureHeatmap_Tiriac_2018	classical	814	62	23	0.370967741935484	0.0282555282555283	3.71554956217352	4.16618557698914e-06	AKR1C3;CALML4;CDH17;CKMT1A;CTSE;CYP2C18;DDC;DOK4;GATA6;GCNT3;GPX2;IYD;KCNE3;LGALS4;LYZ;MUC13;POF1B;SLC44A4;SULT1C2;TMC5;TNFRSF11A;TOX3;TSPAN8	4.99942269238697e-05
tier1_core	SignatureHeatmap_Miyabayashi_2020	classical	814	25	12	0.48	0.0147420147420147	5.76471023023964	4.51252931094483e-05	AGR2;ANXA10;CDH17;CEACAM6;CLRN3;CTSE;LGALS4;LYZ;REG4;TFF1;TFF2;TSPAN8	0.000180501172437793
tier1_core	SignatureHeatmap_Moffitt_2015	classical	814	25	12	0.48	0.0147420147420147	5.76471023023964	4.51252931094483e-05	AGR2;ANXA10;CDH17;CEACAM6;CLRN3;CTSE;LGALS4;LYZ;REG4;TFF1;TFF2;TSPAN8	0.000180501172437793
tier1_core	SignatureHeatmap_Miyabayashi_2020	basal_like	814	25	5	0.2	0.00614250614250614	1.54621360475518	0.263637216990216	DHRS9;KRT15;KRT6A;SERPINB3;SERPINB4	0.632729320776518
tier1_core	SignatureHeatmap_Moffitt_2015	basal_like	814	25	5	0.2	0.00614250614250614	1.54621360475518	0.263637216990216	DHRS9;KRT15;KRT6A;SERPINB3;SERPINB4	0.632729320776518
tier1_core	SignatureHeatmap_Tiriac_2018	basal_like	814	26	4	0.153846153846154	0.00491400491400491	1.12272654695936	0.500301237179536	EREG;MUC16;PTHLH;TGM2	1
composition_covarying	SignatureHeatmap_Moffitt_2015	basal_like	5193	25	2	0.08	0.000385133834007318	0.0104323591466126	1	ANXA8L2;SCEL	1
composition_covarying	SignatureHeatmap_Tiriac_2018	basal_like	5193	26	2	0.0769230769230769	0.000385133834007318	0.00998202906280356	1	ANXA1;PTHLH	1
composition_covarying	SignatureHeatmap_Tiriac_2018	classical	5193	62	2	0.032258064516129	0.000385133834007318	0.00374218504628631	1	DDC;FOXA3	1
composition_covarying	SignatureHeatmap_Miyabayashi_2020	basal_like	5193	25	1	0.04	0.000192566917003659	0.00499124417988112	1	SCEL	1
composition_covarying	SignatureHeatmap_Miyabayashi_2020	classical	5193	25	0	0	0	0	1	""	1
composition_covarying	SignatureHeatmap_Moffitt_2015	classical	5193	25	0	0	0	0	1	""	1
