sample	schema	purist_linear_score	purist_probability_basal	purist_subtype	purist_graded_call	TSP1	TSP2	TSP3	TSP4	TSP5	TSP6	TSP7	TSP8
TCGA-FB-AAQ6-01	PurIST_Moffitt_tumor_intrinsic	-5.197	0.00550269180497639	classical	strong_classical	0	0	1	0	0	0	0	0
TCGA-2L-AAQL-01	PurIST_Moffitt_tumor_intrinsic	-6.815	0.001095990682655	classical	strong_classical	0	0	0	0	0	0	0	0
TCGA-HZ-8005-01	PurIST_Moffitt_tumor_intrinsic	4.728	0.991233391480979	basal_like	strong_basal_like	1	1	1	1	1	1	1	1
TCGA-HZ-A8P1-01	PurIST_Moffitt_tumor_intrinsic	-6.815	0.001095990682655	classical	strong_classical	0	0	0	0	0	0	0	0
TCGA-IB-A7M4-01	PurIST_Moffitt_tumor_intrinsic	1.675	0.84224131298103	basal_like	lean_basal_like	0	1	1	1	0	1	1	1
TCGA-IB-7654-01	PurIST_Moffitt_tumor_intrinsic	-6.815	0.001095990682655	classical	strong_classical	0	0	0	0	0	0	0	0
TCGA-IB-7886-01	PurIST_Moffitt_tumor_intrinsic	-4.275	0.0137211592825189	classical	strong_classical	0	0	1	1	0	0	0	0
TCGA-F2-A7TX-01	PurIST_Moffitt_tumor_intrinsic	4.728	0.991233391480979	basal_like	strong_basal_like	1	1	1	1	1	1	1	1
TCGA-HZ-7289-01	PurIST_Moffitt_tumor_intrinsic	-5.197	0.00550269180497639	classical	strong_classical	0	0	1	0	0	0	0	0
TCGA-HZ-A49I-01	PurIST_Moffitt_tumor_intrinsic	-4.268	0.0138162126750525	classical	strong_classical	0	0	1	0	0	1	0	0
TCGA-HZ-A77P-01	PurIST_Moffitt_tumor_intrinsic	-4.268	0.0138162126750525	classical	strong_classical	0	0	1	0	0	1	0	0
TCGA-IB-A5SP-01	PurIST_Moffitt_tumor_intrinsic	-6.815	0.001095990682655	classical	strong_classical	0	0	0	0	0	0	0	0
TCGA-2L-AAQA-01	PurIST_Moffitt_tumor_intrinsic	-6.815	0.001095990682655	classical	strong_classical	0	0	0	0	0	0	0	0
TCGA-F2-A8YN-01	PurIST_Moffitt_tumor_intrinsic	-1.278	0.217890860136379	classical	lean_classical	0	0	1	0	0	1	1	1
TCGA-HZ-A8P0-01	PurIST_Moffitt_tumor_intrinsic	-5.401	0.00449179932142955	classical	strong_classical	0	0	0	0	0	1	0	1
TCGA-IB-AAUM-01	PurIST_Moffitt_tumor_intrinsic	-6.815	0.001095990682655	classical	strong_classical	0	0	0	0	0	0	0	0
TCGA-2J-AAB6-01	PurIST_Moffitt_tumor_intrinsic	4.728	0.991233391480979	basal_like	strong_basal_like	1	1	1	1	1	1	1	1
TCGA-3A-A9J0-01	PurIST_Moffitt_tumor_intrinsic	-6.815	0.001095990682655	classical	strong_classical	0	0	0	0	0	0	0	0
TCGA-HZ-A4BH-01	PurIST_Moffitt_tumor_intrinsic	-2.681	0.0641038556959991	classical	strong_classical	0	1	1	0	0	0	0	1
