dataset	method	compartment	marker_signature	n	spearman_rho	spearman_p	expected_pair	fdr_within_expected
GSE15471	CIBERSORTx_Smode_PDac7_scRNA	acinar	acinar_pancreas	72	0.952119107338093	9.37407141614462e-38	TRUE	5.62444284968677e-37
GSE16515	CIBERSORTx_Smode_PDac7_scRNA	acinar	acinar_pancreas	52	0.958080764962008	8.3991739764829e-29	TRUE	2.79972465882763e-28
GSE28735	CIBERSORTx_Smode_PDac7_scRNA	acinar	acinar_pancreas	90	0.982466971231016	5.53020542662711e-66	TRUE	8.29530813994066e-65
GSE62165	CIBERSORTx_Smode_PDac7_scRNA	acinar	acinar_pancreas	131	0.987172369615118	1.1560096226814e-104	TRUE	3.46802886804421e-103
GSE71989	CIBERSORTx_Smode_PDac7_scRNA	acinar	acinar_pancreas	21	0.875609010130071	2.01274045098454e-07	TRUE	2.87534350140648e-07
GSE91035	CIBERSORTx_Smode_PDac7_scRNA	acinar	acinar_pancreas	48	0.91804168475901	4.18832951213499e-20	TRUE	9.66537579723458e-20
GSE15471	CIBERSORTx_Smode_PDac7_scRNA	ductal	ductal_epithelial	72	0.0138778326829164	0.907888776145983	TRUE	0.907888776145983
GSE16515	CIBERSORTx_Smode_PDac7_scRNA	ductal	ductal_epithelial	52	-0.25680867412277	0.0660899994443277	TRUE	0.0734333327159197
GSE28735	CIBERSORTx_Smode_PDac7_scRNA	ductal	ductal_epithelial	90	-0.146025100531022	0.169651357930698	TRUE	0.175501404755895
GSE62165	CIBERSORTx_Smode_PDac7_scRNA	ductal	ductal_epithelial	131	-0.286796142348435	0.000896558099058054	TRUE	0.00112069762382257
GSE71989	CIBERSORTx_Smode_PDac7_scRNA	ductal	ductal_epithelial	21	-0.321532982206517	0.155230864950972	TRUE	0.166318783876041
GSE91035	CIBERSORTx_Smode_PDac7_scRNA	ductal	ductal_epithelial	48	-0.29467799288948	0.0420358635522249	TRUE	0.0485029194833364
GSE15471	CIBERSORTx_Smode_PDac7_scRNA	endothelial	endothelial	72	0.738986429995498	1.25284663431467e-13	TRUE	2.08807772385778e-13
GSE16515	CIBERSORTx_Smode_PDac7_scRNA	endothelial	endothelial	52	0.577990267224451	7.22260481640878e-06	TRUE	9.84900656783015e-06
GSE28735	CIBERSORTx_Smode_PDac7_scRNA	endothelial	endothelial	90	0.735687533440343	1.47128119140454e-16	TRUE	2.94256238280909e-16
GSE62165	CIBERSORTx_Smode_PDac7_scRNA	endothelial	endothelial	131	0.590177761170128	1.18707747009767e-13	TRUE	2.08807772385778e-13
GSE71989	CIBERSORTx_Smode_PDac7_scRNA	endothelial	endothelial	21	0.803896103896104	1.13125102460846e-05	TRUE	1.47554481470669e-05
GSE91035	CIBERSORTx_Smode_PDac7_scRNA	endothelial	endothelial	48	0.430633955709944	0.00224817476950688	TRUE	0.00269780972340825
GSE15471	CIBERSORTx_Smode_PDac7_scRNA	fibroblast_stromal	stromal_caf	72	0.935847964499325	1.98903541269415e-33	TRUE	9.94517706347073e-33
GSE16515	CIBERSORTx_Smode_PDac7_scRNA	fibroblast_stromal	stromal_caf	52	0.925973364030991	8.57559405236894e-23	TRUE	2.14389851309223e-22
GSE28735	CIBERSORTx_Smode_PDac7_scRNA	fibroblast_stromal	stromal_caf	90	0.951054880235567	1.171715406641e-46	TRUE	8.78786554980746e-46
GSE62165	CIBERSORTx_Smode_PDac7_scRNA	fibroblast_stromal	stromal_caf	131	0.897434221602733	1.10514040511782e-47	TRUE	1.10514040511782e-46
GSE71989	CIBERSORTx_Smode_PDac7_scRNA	fibroblast_stromal	stromal_caf	21	0.91038961038961	1.02684779690829e-08	TRUE	1.62133862669729e-08
GSE91035	CIBERSORTx_Smode_PDac7_scRNA	fibroblast_stromal	stromal_caf	48	0.951476335214937	3.50065922913623e-25	TRUE	9.54725244309881e-25
GSE15471	CIBERSORTx_Smode_PDac7_scRNA	immune	immune_pan	72	0.934465238922117	4.09777575287553e-33	TRUE	1.75618960837523e-32
GSE16515	CIBERSORTx_Smode_PDac7_scRNA	immune	immune_pan	52	0.865448646802698	1.26493938287337e-16	TRUE	2.71058439187151e-16
GSE28735	CIBERSORTx_Smode_PDac7_scRNA	immune	immune_pan	90	0.876083467094703	1.27424134550895e-29	TRUE	4.77840504565857e-29
GSE62165	CIBERSORTx_Smode_PDac7_scRNA	immune	immune_pan	131	0.775124112528693	1.69756158406962e-27	TRUE	5.09268475220885e-27
GSE71989	CIBERSORTx_Smode_PDac7_scRNA	immune	immune_pan	21	0.896103896103896	3.95302550613066e-08	TRUE	5.92953825919599e-08
GSE91035	CIBERSORTx_Smode_PDac7_scRNA	immune	immune_pan	48	0.873643074250977	5.40354133547327e-16	TRUE	1.01316400040124e-15
