module	model	n	events	covariates	hr	ci_low	ci_high	p	ph_global_p	status	fdr
tier1_core	univariate	178	93		1.7420709017192566	1.3143085984320755	2.3090551414160783	1.1286481614274201e-4	0.7729372349914796	ok	4.0700644237922506e-4
tier1_core	multivariable_available_clinical	175	93	age;stage;grade	1.6907983745867488	1.208609910926359	2.3653613276379786	0.0021688574551034026	0.3148303524469749	ok	0.007524692183452349
tumor_associated_retained	univariate	178	93		1.699866740710095	1.2943977164400904	2.2323486046617265	1.3566881412640835e-4	0.8549974916869452	ok	4.0700644237922506e-4
tumor_associated_retained	multivariable_available_clinical	175	93	age;stage;grade	1.6902975840132082	1.20262757139923	2.375719624652136	0.0025082307278174497	0.35762167935858447	ok	0.007524692183452349
composition_covarying	univariate	178	93		1.4510957575995889	1.163941076782848	1.80909406818398	9.351871810994745e-4	0.19098733818272878	ok	0.0014027807716492117
composition_covarying	multivariable_available_clinical	175	93	age;stage;grade	1.3226077150250577	1.0288427570261318	1.7002512346008318	0.029120724604737736	0.24084164014385367	ok	0.043681086907106606
transition_up	univariate	178	93		1.3241447813597909	1.0275617803151087	1.7063299118274804	0.02999832105846372	0.4357943977033176	ok	0.03599798527015646
transition_up	multivariable_available_clinical	175	93	age;stage;grade	1.1834124453452457	0.8793384014734182	1.5926348871508362	0.2664105224502321	0.20044259663380606	ok	0.2664105224502321
transition_down	univariate	178	93		0.901331982974694	0.7509108858630633	1.0818851595144456	0.26480320821738706	0.7410477084439344	ok	0.26480320821738706
transition_down	multivariable_available_clinical	175	93	age;stage;grade	0.7867694297581832	0.6150488291464948	1.0064341337922935	0.056273215185462605	0.22586974385285838	ok	0.06752785822255512
transition_composite	univariate	178	93		1.5037027534858494	1.1975054265659106	1.8881935068345788	4.456161357185944e-4	0.3023542228156405	ok	8.912322714371887e-4
transition_composite	multivariable_available_clinical	175	93	age;stage;grade	1.3937949053854917	1.0857992842028257	1.7891559393546859	0.009159249256506054	0.27153490283930926	ok	0.018318498513012108
